date,a,ag,al,AP,au,b,bu,c,CF,cs,cu,FG,fu,hc,i,j,jd,jm,l,m,MA,ni,OI,p,pb,pp,rb,RM,ru,sc,SF,SM,sn,SR,TA,v,WH,y,ZC,zn
20180102.0,a1805,ag1806,al1802,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1802,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1802
20180103.0,a1805,ag1806,al1802,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1802,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1802
20180104.0,a1805,ag1806,al1802,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1802,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1802
20180105.0,a1805,ag1806,al1802,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1802,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1802
20180108.0,a1805,ag1806,al1802,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1803,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1803
20180109.0,a1805,ag1806,al1802,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1803,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1803
20180110.0,a1805,ag1806,al1802,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1803,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1803
20180111.0,a1805,ag1806,al1803,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1803,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1803
20180112.0,a1805,ag1806,al1803,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1803,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1803
20180115.0,a1805,ag1806,al1803,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1803,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1803
20180116.0,a1805,ag1806,al1803,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1803,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1803
20180117.0,a1805,ag1806,al1803,AP805,au1806,,bu1806,c1805,CF805,cs1805,cu1803,FG805,,hc1805,i1805,j1805,jd1805,jm1805,l1805,m1805,MA805,ni1805,OI805,p1805,pb1802,pp1805,rb1805,RM805,ru1805,,SF805,SM805,sn1805,SR805,TA805,v1805,WH805,y1805,ZC805,zn1803
